ma_buucuc,ma_cn,ma_quanhuyen,ten_quanhuyen
THX,HCM,7290,QUẬN 12
CH0462,BDH,,
CHYXA,HNI,1340,HUYỆN THANH TRÌ
BCNG,BKN,2610,THÀNH PHỐ BẮC KẠN
TTKDCP,CNTCT,,
D00107,KTM,,
D00073,NDH,,
NMDN,NAN,,
KVMN06,FFM,7430,QUẬN 11
HBLAVH,LAN,8551,HUYỆN VĨNH HƯNG
NDH001,NDH,,
VLG,VLG,8910,THÀNH PHỐ VĨNH LONG
TTQU7,HCM,7560,QUẬN 7
BTD,HCM,7620,QUẬN BÌNH TÂN
HBCTPD,CTO,9044,HUYỆN PHONG ĐIỀN
HMH,DNG,5557,QUẬN LIÊN CHIỂU
CH0794,HNI,,
HBTGCL,TGG,8649,THỊ XÃ CAI LẬY
CNDC,LAN,8527,HUYỆN CẦN ĐƯỚC
QNHTPU,QNH,2068,THÀNH PHỐ MÓNG CÁI
HBSLBY,SLA,3643,HUYỆN BẮC YÊN
CH0080,HCM,,
HBNBHL,NBH,4319,HUYỆN HOA LƯ
HBHNTL,HNI,1260,QUẬN NAM TỪ LIÊM
CHADV,HNI,1240,QUẬN TÂY HỒ
16853,BNH,,
CH0248,HYN,,
BTN,BTN,8010,THÀNH PHỐ PHAN THIẾT
CH0328,NBH,,
CH0277,QNH,,
CH0677,CMU,9723,HUYỆN TRẦN VĂN THỜI
HBBDBB,BDG,8248,HUYỆN BÀU BÀNG
NOQN,LDG,6710,THÀNH PHỐ ĐÀ LẠT
DVG,HNI,1220,QUẬN CẦU GIẤY
HBQNDT,QNH,2086,THỊ XÃ ĐÔNG TRIỀU
CH0237,HPG,,
HBTHNC,THA,4538,HUYỆN NÔNG CỐNG
HBQNDB,QNM,5642,THỊ XÃ ĐIỆN BÀN
CH0816,HNI,,
CH0024,CBG,,
CH0439,QNM,,
TRN,HNI,1100,QUẬN HOÀN KIẾM
KTPTT,BTN,8010,THÀNH PHỐ PHAN THIẾT
BRA,VTU,7951,THÀNH PHỐ BÀ RỊA
HBQNDH,QNH,2063,HUYỆN ĐẦM HÀ
CH0802,HNI,1100,QUẬN HOÀN KIẾM
CH0262,NDH,,
CH0557,BDG,8239,THÀNH PHỐ THUẬN AN
71716,HCM,,
HBCMSD,CMU,9723,HUYỆN TRẦN VĂN THỜI
CH0458,BDH,,
CH0589,DNI,,
CH0181,SLA,,
HBLCTU,LCU,3940,HUYỆN TÂN UYÊN
LOGCMY,LOG,,
CH0412,QNI,5726,HUYỆN SƠN HÀ
HBDNTD,DNI,8110,THÀNH PHỐ BIÊN HÒA
STGG,STG,9510,THÀNH PHỐ SÓC TRĂNG
TTDHKD,CNTCT,,
CH0015,BKN,2619,HUYỆN BẠCH THÔNG
HBTVTN,TVH,9423,HUYỆN TIỂU CẦN
CH0382,HUE,5364,HUYỆN NAM ĐÔNG
HBHNHT,HNI,1120,QUẬN HAI BÀ TRƯNG
HBQNBS,QNI,5718,HUYỆN BÌNH SƠN
HBNDTN,NDH,4251,HUYỆN TRỰC NINH
NCI,KTM,5830,HUYỆN NGỌC HỒI
HBQNDP,QNI,5735,THỊ XÃ ĐỨC PHỔ
DGHG,TBH,4121,HUYỆN ĐÔNG HƯNG
HBBKNR,BKN,2613,HUYỆN NA RÌ
KMN,HDG,1738,THỊ XÃ KINH MÔN
TTVH,CNTCT,1220,QUẬN CẦU GIẤY
VPC01,VPC,2810,THÀNH PHỐ VĨNH YÊN
HAN,QNM,5638,THÀNH PHỐ HỘI AN
LHPG,HCM,7400,QUẬN 10
DHIG,LCI,3316,HUYỆN SI MA CAI
CHGLAK,GLI,6024,THỊ XÃ AN KHÊ
NHI,HNI,1340,HUYỆN THANH TRÌ
CHTHLT,HNI,1270,QUẬN HOÀNG MAI
HPTH,HCM,7290,QUẬN 12
HBTNPB,TNN,2575,HUYỆN PHÚ BÌNH
HBDKCJ,DKG,6424,HUYỆN CƯ JÚT
KGT,HNI,1150,QUẬN ĐỐNG ĐA
HBDKDM,DKG,6418,HUYỆN ĐẮK MIL
CH0569,BPC,8317,HUYỆN BÙ ĐĂNG
CH0712,DTP,,
CH0065,TNN,,
CH0585,DKG,6427,HUYỆN ĐẮK GLONG
VIN,HYN,,
LDGLHP,LDG,6747,THÀNH PHỐ BẢO LỘC
HBHPKA,HPG,1851,QUẬN KIẾN AN
ANT,KGG,9222,HUYỆN PHÚ QUỐC
SLATHU,SLA,3610,THÀNH PHỐ SƠN LA
HBHDCL,HDG,1742,THÀNH PHỐ CHÍ LINH
D00431,HCM,,
11414,HNI,,
CH0071,TQG,,
CH0429,QNM,,
CH0735,KGG,,
HBNACC,NAN,4730,HUYỆN CON CUÔNG
VNL,HYN,1635,HUYỆN VĂN LÂM
CH0121,HCM,7200,QUẬN THỦ ĐỨC
PUT,HNI,1240,QUẬN TÂY HỒ
HBVLBM,VLG,8921,THỊ XÃ BÌNH MINH
CH0313,NAN,,
CH0702,DTP,8714,HUYỆN THÁP MƯỜI
P00025,GLI,,
SLATCU,SLA,3657,HUYỆN THUẬN CHÂU
HBLATN,LAN,8546,HUYỆN TÂN THẠNH
HBVTCD,VTU,7953,HUYỆN CHÂU ĐỨC
DXI,BPC,8310,THÀNH PHỐ ĐỒNG XOÀI
CMY,HNI,1561,HUYỆN CHƯƠNG MỸ
NTY,HNI,1250,QUẬN LONG BIÊN
TTFWD,LOG,,
CH0188,SLA,,
HBTHHH,THA,4422,HUYỆN HOẰNG HÓA
DHAG,QTI,5210,THÀNH PHỐ ĐÔNG HÀ
CH0273,QNH,2075,THỊ XÃ QUẢNG YÊN
HBQTCV,QTI,,
NANM,BGG,2353,HUYỆN TÂN YÊN
HAA,DNI,8110,THÀNH PHỐ BIÊN HÒA
HBHNUH,HNI,1571,HUYỆN ỨNG HÒA
TTOI,HNI,1340,HUYỆN THANH TRÌ
TGC,HCM,7360,QUẬN TÂN BÌNH
HBHNMB,HNI,1120,QUẬN HAI BÀ TRƯNG
HNILBN,HNI,,
BOKE,HYN,,
QNH001,QNH,2068,THÀNH PHỐ MÓNG CÁI
CH0764,VLG,,
24128,TNN,,
KVMN04,FFM,,
HBTVCT,TVH,9426,HUYỆN CHÂU THÀNH
BTUN,BDG,8247,HUYỆN BẮC TÂN UYÊN
HBTQCH,TQG,3038,HUYỆN CHIÊM HÓA
D00429,HCM,,
HGPC,NAN,4610,THÀNH PHỐ VINH
GPG,HNI,1270,QUẬN HOÀNG MAI
HBBTBT,BTE,9310,THÀNH PHỐ BẾN TRE
HBTQLB,TQG,3056,HUYỆN LÂM BÌNH
NDU,HNI,1120,QUẬN HAI BÀ TRƯNG
HBTBTB,TBH,4110,THÀNH PHỐ THÁI BÌNH
HBTHTH,THA,4410,THÀNH PHỐ THANH HÓA
TTTMBH,VLG,8917,HUYỆN TAM BÌNH
OSQTI,QTI,,
HBTHHT,THA,4444,HUYỆN HÀ TRUNG
CHVTLD,VTU,7944,HUYỆN LONG ĐIỀN
TQGG,TQG,3010,THÀNH PHỐ TUYÊN QUANG
PCH,KHA,6510,THÀNH PHỐ NHA TRANG
LVT,NAN,4610,THÀNH PHỐ VINH
BDH,HNI,1180,QUẬN BA ĐÌNH
KVMB12,FFM,,
HBDBMN,DBN,3840,HUYỆN MƯỜNG NHÉ
HBDLKB,DLK,6370,HUYỆN KRÔNG BÔNG
PTH,DNI,8158,HUYỆN NHƠN TRẠCH
PCLKD,CNTCT,1260,QUẬN NAM TỪ LIÊM
HBLAKT,LAN,8554,THỊ XÃ KIẾN TƯỜNG
HBPTTT,PHO,2945,HUYỆN THANH THỦY
HMRG,THA,4410,THÀNH PHỐ THANH HÓA
HBDBDP,DBN,3810,THÀNH PHỐ ĐIỆN BIÊN PHỦ
XHA,VPC,2834,THÀNH PHỐ PHÚC YÊN
THQ,HNI,1150,QUẬN ĐỐNG ĐA
TDH,HNI,1220,QUẬN CẦU GIẤY
CH0348,THA,,
KHA002,KHA,6510,THÀNH PHỐ NHA TRANG
HNIKSN,HNI,1310,HUYỆN GIA LÂM
CMUG,CMU,9710,THÀNH PHỐ CÀ MAU
HBSTCT,STG,9550,HUYỆN CHÂU THÀNH
HCM07,HCM,7290,QUẬN 12
TPT,HCM,7330,HUYỆN CỦ CHI
CH0798,HNI,1576,HUYỆN MỸ ĐỨC
PGCH,HNI,1260,QUẬN NAM TỪ LIÊM
CH0443,QTI,,
CH0613,LAN,,
CH0074,TQG,,
CHKBG,DLK,6370,HUYỆN KRÔNG BÔNG
HBTBTH,TBH,4162,HUYỆN TIỀN HẢI
HBBTCT,BTE,9313,HUYỆN CHÂU THÀNH
LTKT,CMU,9710,THÀNH PHỐ CÀ MAU
HNI027,HNI,1270,QUẬN HOÀNG MAI
BKA,HNI,1120,QUẬN HAI BÀ TRƯNG
CH0532,LDG,,
CH0360,THA,,
CH0736,KGG,9232,HUYỆN VĨNH THUẬN
HQU122,HCM,7290,QUẬN 12
TQY,HCM,7330,HUYỆN CỦ CHI
HNH,LDG,6737,HUYỆN DI LINH
HBBDAN,BDH,5920,THỊ XÃ AN NHƠN
CPU,AGG,8828,HUYỆN CHÂU PHÚ
CHHAXM,HNI,1561,HUYỆN CHƯƠNG MỸ
PVG,HUE,5367,HUYỆN PHÚ VANG
PCSKH,CNTCT,1260,QUẬN NAM TỪ LIÊM
LCU,LCU,3910,THÀNH PHỐ LAI CHÂU
DDN,HNI,1220,QUẬN CẦU GIẤY
ATI,CTO,9028,QUẬN BÌNH THỦY
QTBH,HCM,7360,QUẬN TÂN BÌNH
CHBTHM,BTN,8031,HUYỆN HÀM THUẬN NAM
CH0492,DLK,6366,HUYỆN KRÔNG A NA
CH0448,QTI,,
CHTLBV,HNI,1547,HUYỆN BA VÌ
HMI,HNI,1270,QUẬN HOÀNG MAI
CTHG,BTE,9313,HUYỆN CHÂU THÀNH
OSHYN,HYN,1610,THÀNH PHỐ HƯNG YÊN
HBBPLN,BPC,8325,HUYỆN LỘC NINH
HBQNHD,QNM,5634,Huyện Hiệp Đức
TNTG,THA,4555,HUYỆN QUẢNG XƯƠNG
HBPTYL,PHO,2976,HUYỆN YÊN LẬP
BNE,HCM,7100,QUẬN 1
CH0172,PHO,2962,HUYỆN HẠ HÒA
HTHLHA,HTH,4891,HUYỆN LỘC HÀ
CH0170,PHO,,
CH0474,BTN,,
HHTM,HCM,7170,QUẬN BÌNH THẠNH
CH0761,TVH,,
HXNL,DNI,8139,HUYỆN XUÂN LỘC
CH0269,QNH,2010,THÀNH PHỐ HẠ LONG
HBGLCO,GLI,6042,HUYỆN CHƯ PRÔNG
KTTDC,HCM,7200,QUẬN THỦ ĐỨC
LVL,HNI,1200,QUẬN THANH XUÂN
CH0370,DNG,,
CH0426,QNM,5662,HUYỆN PHÚ NINH
CH0398,KTM,5825,HUYỆN ĐẮK TÔ
CH0338,QBH,5122,HUYỆN QUẢNG TRẠCH
CH0047,LSN,,
CH0059,TNN,2564,THÀNH PHỐ SÔNG CÔNH
LMY,HUG,9130,THỊ XÃ LONG MỸ
TTTN,HCM,7310,HUYỆN HÓC MÔN
CH0367,THA,,
CH0261,NDH,4210,THÀNH PHỐ NAM ĐỊNH
CH0017,BKN,,
D00284,DTP,,
CHDBH,NDH,4265,HUYỆN NGHĨA HƯNG
BTI,HCM,7430,QUẬN 11
NBHVC,NBH,,
HNIBTL,HNI,,
TMR,HNI,,
CH0810,HNI,,
GTP,TNN,2510,THÀNH PHỐ THÁI NGUYÊN
71514,HCM,,
HBQBQT,QBH,5140,THỊ XÃ BA ĐỒN
HBHUPL,HUE,5371,HUYỆN PHÚ LỘC
71106,HCM,,
HBQNPS,QNM,5651,HUYỆN PHƯỚC SƠN
PONIA,HYN,,
CHDLLG,DLK,6310,THÀNH PHỐ BUÔN MA THUỘT
HBQNNM,QNM,5653,HUYỆN NAM TRÀ MY
OSHGG,HGG,3110,THÀNH PHỐ HÀ GIANG
16216,BNH,,
TTN,HNI,1585,HUYỆN THƯỜNG TÍN
HBDTLO,DTP,8726,HUYỆN LẤP VÒ
HBHNBL,HNI,1280,QUẬN BẮC TỪ LIÊM
CH0293,HTH,4810,THÀNH PHỐ HÀ TĨNH
HXN,DNG,5574,QUẬN CẨM LỆ
NTSO,HNI,1150,QUẬN ĐỐNG ĐA
CH0168,PHO,2935,THI XÃ PHÚ THỌ
CH0812,HNI,,
CH0631,TGG,,
HBNACL,NAN,4624,THỊ XÃ CỬA LÒ
PYNPHA,PYN,6234,HUYỆN PHÚ HÒA
DCG,HNI,1270,QUẬN HOÀNG MAI
CH0593,DNI,,
HBHDKM,HDG,1738,THỊ XÃ KINH MÔN
CH0782,HNI,,
CH0789,HNI,,
PTCKT,CNTCT,,
OSDNG,DNG,,
CH0323,NAN,,
CHTLT,HNI,1340,HUYỆN THANH TRÌ
CH0622,TGG,,
HBHYTL,HYN,1613,HUYỆN TIÊN LỮ
QNITBG,QNI,5722,HUYỆN TRÀ BỒNG
TND,HCM,7100,QUẬN 1
LBN,HNI,1250,QUẬN LONG BIÊN
CH0765,VLG,,
HBDBTC,DBN,3836,HUYỆN TỦA CHÙA
HBAGPT,AGG,8825,HUYỆN PHÚ TÂN
HBDLKP,DLK,6327,HUYỆN KRÔNG PẮK
TDN,HCM,7130,QUẬN 2
MND,HCM,7170,QUẬN BÌNH THẠNH
NDO,HNI,1220,QUẬN CẦU GIẤY
CH0205,YBN,,
CH0752,STG,9517,HUYỆN LONG PHÚ
LXN,AGG,8810,THÀNH PHỐ LONG XUYÊN
HLC,FFM,1553,HUYỆN THẠCH THẤT
KVMT01,FFM,5568,QUẬN NGŨ HÀNH SƠN
HBTHLC,THA,4523,HUYỆN LANG CHÁNH
HBNTNS,NTN,6631,HUYỆN NINH SƠN
TNI,HUE,5310,THÀNH PHỐ HUẾ
HBHT01,HCM,7620,QUẬN BÌNH TÂN
CH0784,HNI,,
HBHNPT,HNI,1536,HUYỆN PHÚC THỌ
KHPG,LOG,,
CH0321,NAN,,
CH0697,CTO,,
TIN,BDH,5910,THÀNH PHỐ QUI NHƠN
HBNAHN,NAN,4743,HUYỆN HƯNG NGUYÊN
HBCTNK,CTO,9010,QUẬN NINH KIỀU
HCM12,HCM,,
STAB,LOG,7290,QUẬN 12
OSTNN,TNN,2510,THÀNH PHỐ THÁI NGUYÊN
24921,TNN,,
HGHA,TBH,4142,HUYỆN HƯNG HÀ
CH0791,HNI,1557,HUYỆN QUỐC OAI
KTN,HNI,1150,QUẬN ĐỐNG ĐA
CH0179,SLA,,
CH0377,DNG,5568,QUẬN NGŨ HÀNH SƠN
CH0124,DBN,,
81559,DTP,,
MYP,BDG,8231,THỊ XÃ BẾN CÁT
HBAGTB,AGG,8840,HUYỆN TỊNH BIÊN
LEB,CTO,9036,QUẬN CÁI RĂNG
HNI003,HNI,,
HLT,HNI,1270,QUẬN HOÀNG MAI
LTK,HCM,7360,QUẬN TÂN BÌNH
TYPNTT,BTN,,
CH0714,HUG,,
CH0236,HPG,,
CH0016,BKN,,
TTHPG,HPG,1875,QUẬN HẢI AN
DSKV2,LOG,5557,QUẬN LIÊN CHIỂU
HBHPDS,HPG,1871,QUẬN ĐỒ SƠN
HBLSDL,LSN,2475,HUYỆN ĐÌNH LẬP
HBTQSD,TQG,3028,HUYỆN SƠN DƯƠNG
CH0438,QNM,,
HAI,BDG,8231,THỊ XÃ BẾN CÁT
DGA,PYN,6230,HUYỆN ĐÔNG HÒA
NHH,HCM,,
HBBGVY,BGG,2361,HUYỆN VIỆT YÊN
NMDG,HNI,1150,QUẬN ĐỐNG ĐA
HCMDQ,FFM,7380,HUYỆN BÌNH CHÁNH
CH0464,BDH,5945,HUYỆN VÂN CANH
CH0773,VLG,,
HBBTBB,BTN,8019,HUYỆN BẮC BÌNH
HNI032,HNI,1220,QUẬN CẦU GIẤY
BTR,HNI,1310,HUYỆN GIA LÂM
HDC,HNI,1529,HUYỆN HOÀI ĐỨC
SCTO,LOG,,
CH0419,QNI,5731,HUYỆN MINH LONG
CH0384,HUE,,
MTN,YBN,3210,THÀNH PHỐ YÊN BÁI
HGP,HCM,7560,QUẬN 7
HBQTDH,QTI,5210,THÀNH PHỐ ĐÔNG HÀ
HN10,HNI,1120,QUẬN HAI BÀ TRƯNG
CH0125,DBN,,
CH0211,BNH,,
ATH,BDG,8239,THÀNH PHỐ THUẬN AN
TDM,BDG,8210,THÀNH PHỐ THỦ DẦU MỘT
HBDNTK,DNG,5542,QUẬN THANH KHÊ
ANPU,CTO,9010,QUẬN NINH KIỀU
HBCBHA,CBG,2738,HUYỆN HÒA AN
HBBKCM,BKN,2638,HUYỆN CHỢ MỚI
HBHBLS,HBH,3539,HUYỆN LẠC SƠN
CH0075,HCM,7620,QUẬN BÌNH TÂN
TCP,HCM,7290,QUẬN 12
CH0801,HNI,1120,QUẬN HAI BÀ TRƯNG
CH0803,HNI,1100,QUẬN HOÀN KIẾM
HUBLNM,HNI,1270,QUẬN HOÀNG MAI
CH0060,TNN,,
CH0679,CMU,,
CH0203,YBN,,
BNHG,BNH,2210,THÀNH PHỐ BẮC NINH
CH0387,HUE,5371,HUYỆN PHÚ LỘC
TDI,DNI,8110,THÀNH PHỐ BIÊN HÒA
XTG,NDH,4271,HUYỆN XUÂN TRƯỜNG
HCM09,HCM,7560,QUẬN 7
CH0800,HNI,,
YHA,HNI,1220,QUẬN CẦU GIẤY
CH0651,VTU,,
CH0571,BTE,9330,HUYỆN THẠNH PHÚ
D00158,BLU,,
CHLACT,LAN,8518,HUYỆN CHÂU THÀNH
CH0336,QBH,,
HBGLDC,GLI,6038,HUYỆN ĐỨC CƠ
HUVG,GLI,6010,THÀNH PHỐ PLEIKU
LOB,QTI,5226,HUYỆN HƯỚNG HÓA
KVMN01,FFM,8110,THÀNH PHỐ BIÊN HÒA
OSHCM,HCM,7100,QUẬN 1
K1DNG,FFM,,
MIH,HNI,1220,QUẬN CẦU GIẤY
OSNDH,NDH,,
OSKGG,KGG,,
BNHVC,BNH,,
HBKTDG,KTM,5832,HUYỆN ĐẮK GLEI
HBVPTG,VPC,2815,HUYỆN TAM DƯƠNG
TTKNB,LOG,1390,HUYỆN SÓC SƠN
LPC,DNI,8153,HUYỆN LONG THÀNH
HBHCAP,HCM,7130,QUẬN 2
HBBGLG,BGG,2340,HUYỆN LẠNG GIANG
KTDNI,DNI,8110,THÀNH PHỐ BIÊN HÒA
ATG,HNI,1529,HUYỆN HOÀI ĐỨC
CH0339,QBH,,
CH0368,THA,,
HBDLBH,DLK,6390,THỊ XÃ BUÔN HỒ
PGO,BDG,8228,HUYỆN PHÚ GIÁO
HBBGHH,BGG,2366,HUYỆN HIỆP HÒA
HBBPPR,BPC,8342,HUYỆN PHÚ RIỀNG
BHGG,HDG,1751,HUYỆN BÌNH GIANG
CH0089,HCM,,
PDO,HNI,1260,QUẬN NAM TỪ LIÊM
FFMNAN,FFM,,
CH0682,CMU,,
TSN,BNH,2218,HUYỆN TIÊN DU
HBLCBH,LCI,3310,HUYỆN BẮC HÀ
HBHYVG,HYN,1638,HUYỆN VĂN GIANG
HBTBHH,TBH,4142,HUYỆN HƯNG HÀ
HCM10,HCM,7400,QUẬN 10
HBDTTN,DTP,8717,HUYỆN TAM NÔNG
HBNATC,NAN,4757,HUYỆN THANH CHƯƠNG
CHBHPI,HCM,7380,HUYỆN BÌNH CHÁNH
LGH,HNI,1150,QUẬN ĐỐNG ĐA
CTYCNE,CNTCT,,
TT5HCM,HCM,7621,THÀNH PHỐ THỦ ĐỨC
CMM,DNI,8161,HUYỆN CẨM MỸ
CH0503,GLI,,
CH0330,NBH,,
CH0740,KGG,,
CH0742,STG,9511,HUYỆN TRẦN ĐỀ
PHI,VLG,8910,THÀNH PHỐ VĨNH LONG
DAN,BDG,8246,THÀNH PHỐ DĨ AN
HBNATK,NAN,4684,HUYỆN TÂN KỲ
TXM,HNI,1200,QUẬN THANH XUÂN
BDM,HCM,7310,HUYỆN HÓC MÔN
PCD,HNI,1280,QUẬN BẮC TỪ LIÊM
CH0138,HBH,3537,HUYỆN CAO PHONG
HBHNGL,HNI,1310,HUYỆN GIA LÂM
CHLDPH,LDG,6710,THÀNH PHỐ ĐÀ LẠT
LSN001,LSN,2410,THÀNH PHỐ LẠNG SƠN
MLC,NDH,4239,HUYỆN MỸ LỘC
HBHDTM,HDG,1758,HUYỆN THANH MIỆN
CHKKY,HNI,1310,HUYỆN GIA LÂM
HBGLAK,GLI,6024,THỊ XÃ AN KHÊ
HBHCBC,HCM,7380,HUYỆN BÌNH CHÁNH
XPG,HNI,1260,QUẬN NAM TỪ LIÊM
HBDLHT,DLK,6310,THÀNH PHỐ BUÔN MA THUỘT
CH0640,TNH,,
CH0052,LSN,2425,HUYỆN VĂN LÃNG
CH0581,DKG,6421,HUYỆN KRÔNG NÔ
THSN,VPC,2810,THÀNH PHỐ VĨNH YÊN
HBTNDA,TNN,2544,HUYỆN ĐỊNH HÓA
HANG,QNM,5638,THÀNH PHỐ HỘI AN
HBHT04,HCM,7620,QUẬN BÌNH TÂN
CH0663,AGG,,
CH0011,BKN,,
TRCG,HNI,,
11907,HNI,1100,QUẬN HOÀN KIẾM
NHHI,NTN,6626,HUYỆN NINH HẢI
CH0228,HNM,,
ANP,BDG,8239,THÀNH PHỐ THUẬN AN
BATN,VPC,2812,HUYỆN BÌNH XUYÊN
HBVLBT,VLG,8938,HUYỆN BÌNH TÂN
PTI,BDH,5910,THÀNH PHỐ QUI NHƠN
STG01,STG,9510,THÀNH PHỐ SÓC TRĂNG
HBQNTY,QNH,2056,HUYỆN TIÊN YÊN
BCDGG,HNI,1310,HUYỆN GIA LÂM
NNX,HNI,1200,QUẬN THANH XUÂN
CH0676,BLU,,
CH0206,YBN,,
OSLSN,LSN,2410,THÀNH PHỐ LẠNG SƠN
MYH,LAN,8537,HUYỆN ĐỨC HÒA
VTU,VTU,7910,THÀNH PHỐ VŨNG TÀU
KVKDMT,FFM,,
NMD,HUE,5364,HUYỆN NAM ĐÔNG
HNINTL,HNI,,
CHGLAP,GLI,6053,THỊ XÃ AYUN PA
TYU,HNI,1280,QUẬN BẮC TỪ LIÊM
HBNDNT,NDH,4246,HUYỆN NAM TRỰC
HBVTVT,VTU,7910,THÀNH PHỐ VŨNG TÀU
CMI,AGG,8816,HUYỆN CHỢ MỚI
HNM,HNM,4010,THÀNH PHỐ PHỦ LÝ
SBDH,LOG,1180,QUẬN BA ĐÌNH
TVV,HNI,1120,QUẬN HAI BÀ TRƯNG
HUHA,HNI,1340,HUYỆN THANH TRÌ
HPU,VLG,8913,HUYỆN LONG HỒ
SNTY,QBH,5139,HUYỆN LỆ THỦY
SMS,THA,4420,THÀNH PHỐ SẦM SƠN
DNGTCH,DNG,5542,Quận Thanh Khê
VLGHT,VLG,,
CH0759,TVH,,
TBHTHG,TBH,4121,HUYỆN ĐÔNG HƯNG
CH0202,YBN,,
TNB,LOG,,
QNIBTO,QNI,5732,HUYỆN BA TƠ
QTITPG,QTI,5233,HUYỆN TRIỆU PHONG
ADV,HCM,7480,QUẬN 5
HNI002,HNI,,
DGN,HNI,,
HBGLCS,GLI,6047,HUYỆN CHƯ SÊ
D00374,HCM,,
CH0077,HCM,7380,HUYỆN BÌNH CHÁNH
CH0707,DTP,,
HBBTTP,BTE,9330,HUYỆN THẠNH PHÚ
HTH,HTH,4810,THÀNH PHỐ HÀ TĨNH
PLM,HNI,1510,QUẬN HÀ ĐÔNG
QNILHA,QNI,5740,HUYỆN TƯ NGHĨA
HBHGDV,HGG,3126,HUYỆN ĐỒNG VĂN
CH0603,DNI,,
CH0383,HUE,,
HBHNST,HNI,1540,THỊ XÃ SƠN TÂY
DTNBN3,LOG,,
ANDG,HPG,1848,HUYỆN AN DƯƠNG
CH0594,DNI,,
KGM,HNI,1200,QUẬN THANH XUÂN
HNI012,HNI,,
CH0042,HGG,,
CHPLT,HNI,1200,QUẬN THANH XUÂN
HBPYTA,PYN,6216,HUYỆN TUY AN
HBBTHN,BTN,8031,HUYỆN HÀM THUẬN NAM
HBHG,HBH,3510,THÀNH PHỐ HÒA BÌNH
CH0073,TQG,,
QNH003,QNH,2010,THÀNH PHỐ HẠ LONG
TBH,TBH,4110,THÀNH PHỐ THÁI BÌNH
CH0021,CBG,,
ANHA,KGG,9210,THÀNH PHỐ RẠCH GIÁ
DHMGSN,HNI,1270,QUẬN HOÀNG MAI
CH0683,CMU,,
CH0217,HDG,,
CH0333,QBH,,
HBHDBG,HDG,1751,HUYỆN BÌNH GIANG
HBPTPN,PHO,2923,HUYỆN PHÙ NINH
HBHGHP,HGG,3139,HUYỆN HOÀNG SU PHÌ
HBQNUB,QNH,2079,THÀNH PHỐ UÔNG BÍ
OSHPG,HPG,,
CH0700,DTP,,
HDH,HNI,1200,QUẬN THANH XUÂN
DVN,HNM,4023,THỊ XÃ DUY TIÊN
TTM,VTU,7910,THÀNH PHỐ VŨNG TÀU
TTKT4,LOG,9028,QUẬN BÌNH THỦY
HBTBQP,TBH,4136,HUYỆN QUỲNH PHỤ
P00061,HCM,,
GAT,HNI,1250,QUẬN LONG BIÊN
CH0599,DNI,,
ATY,BDG,8231,THỊ XÃ BẾN CÁT
CH0720,HUG,9125,HUYỆN CHÂU THÀNH A
15808,VPC,,
CH0638,TNH,8419,HUYỆN TÂN CHÂU
HBHYHY,HYN,1610,THÀNH PHỐ HƯNG YÊN
CHPDH,HCM,7510,QUẬN 8
HNI014,HNI,1220,QUẬN CẦU GIẤY
CH0481,DLK,6327,HUYỆN KRÔNG PẮK
CH0664,AGG,,
CH0705,DTP,8740,HUYỆN CAO LÃNH
CH0145,LCI,,
CH0565,BPC,,
HBHUHT,HUE,5361,THỊ XÃ HƯƠNG THỦY
HBKGVT,KGG,9232,HUYỆN VĨNH THUẬN
HBDNNT,DNI,8158,HUYỆN NHƠN TRẠCH
11312,HNI,,
HCGY01,HNI,1220,QUẬN CẦU GIẤY
STLM,LOG,1260,QUẬN NAM TỪ LIÊM
LOGCMT,LOG,5510,QUẬN HẢI CHÂU
CH0769,VLG,,
CH0597,DNI,,
THAQSN,THA,4529,HUYỆN QUAN SƠN
HBBDHT,BDG,8210,THÀNH PHỐ THỦ DẦU MỘT
HYNTTN,HYN,1638,HUYỆN VĂN GIANG
HIB,VTU,7956,THỊ XÃ PHÚ MỸ
HBVLVM,VLG,8929,HUYỆN VŨNG LIÊM
HBQTHL,QTI,5238,HUYỆN HẢI LĂNG
KVMB01,FFM,1553,HUYỆN THẠCH THẤT
HNITXN,HNI,,
11515,HNI,,
HBQNBN,QNM,,
CH0436,QNM,5627,HUYỆN DUY XUYÊN
CH0283,TBH,,
CH0577,BTE,9321,HUYỆN MỎ CÀY NAM
D00127,BTE,,
AGG,AGG,8810,THÀNH PHỐ LONG XUYÊN
HBDLKK,DLK,6347,HUYỆN KRÔNG BÚK
DTHNI,CNTCT,1220,QUẬN CẦU GIẤY
HBBGYD,BGG,2372,HUYỆN YÊN DŨNG
GMY,HCM,7620,QUẬN BÌNH TÂN
CHCUT,KGG,9230,HUYỆN CHÂU THÀNH
CH0130,DBN,,
CH0151,LCI,,
CH0127,DBN,,
CDO,CTO,9046,HUYỆN CỜ ĐỎ
BYN,LCI,3316,HUYỆN SI MA CAI
HBTHTG,THA,4565,THỊ XÃ NGHI SƠN
HBVPBX,VPC,2812,HUYỆN BÌNH XUYÊN
SIT,HCM,7150,QUẬN 9
KDH,HNI,1200,QUẬN THANH XUÂN
CH0193,VPC,2815,HUYỆN TAM DƯƠNG
CH0276,QNH,,
COGO,TGG,8620,HUYỆN CHỢ GẠO
HMK,BTN,8031,HUYỆN HÀM THUẬN NAM
QU11,HCM,7430,QUẬN 11
QGTN,HNI,1390,HUYỆN SÓC SƠN
HBSLSL,SLA,3610,THÀNH PHỐ SƠN LA
